Price,Close,High,Low,Open,Volume
Ticker,AZN,AZN,AZN,AZN,AZN
Date,,,,,
2024-04-01,65.89791870117188,66.84841775815228,65.69214171089827,66.82881567755291,3113800
2024-04-02,65.65293884277344,66.0252961030581,65.41776622975169,65.79992452941299,4396600
2024-04-03,65.46675872802734,65.99590273254161,65.05520477207276,65.06500581178676,3795700
2024-04-04,65.98609924316406,67.60292683982306,65.93710899841837,67.60292683982306,7453900
2024-04-05,66.09388732910156,66.35846305585962,65.54514874916258,65.63334315008275,4811000
2024-04-08,66.3388671875,66.40745951641338,65.86852192523764,66.2114835698046,3824500
2024-04-09,67.03459167480469,67.08358191810719,66.59363462906813,66.82880723452622,4392700
2024-04-10,66.7406234741211,66.79941475927141,66.0644937908816,66.23107408280931,7715800
2024-04-11,68.05368041992188,68.66121779399566,67.48534720495279,68.47503541826276,5985900
2024-04-12,67.54414367675781,68.41624938371407,67.22077662334613,68.25947011527424,9121200
2024-04-15,67.3481674194336,68.16147435556556,67.16198503024506,67.68132803587261,9213500
2024-04-16,66.89740753173828,67.22077457529778,66.65243385801197,66.91700961219819,5361900
2024-04-17,67.15218353271484,67.41675929197184,66.82881648295778,67.33836592063619,3709900
2024-04-18,66.98560333251953,67.40695835911684,66.78962737987104,66.87781431576184,4005800
2024-04-19,67.17178344726562,67.32856270887746,66.76022199902793,66.77002303912964,4735700
2024-04-22,68.72001647949219,69.07277918938637,67.98509541321327,68.26926578929489,5183700
2024-04-23,69.425537109375,69.67051078123306,68.7494148587289,69.0139831348942,5806000
2024-04-24,69.76849365234375,70.03306938516282,69.26875278102351,69.97427810053752,6137700
2024-04-25,73.52149200439453,74.28580861039902,73.00214905293008,73.48229532254781,15606600
2024-04-26,73.65868377685547,73.97224978595357,73.09034304911411,73.49210346989784,6688000
2024-04-29,73.96244812011719,75.0403306910765,73.8448580760843,74.64837135363605,7538300
2024-04-30,74.35440063476562,74.60917532774052,73.80566204312981,74.19762138401366,8547400
2024-05-01,74.8737564086914,75.25591473745165,74.43279931519665,74.80515660383394,4911700
2024-05-02,74.2760238647461,74.8737602508653,74.22702613762019,74.72677454549108,10038700
2024-05-03,74.81494903564453,74.95213367756853,73.9134478241434,74.93253907558035,9026100
2024-05-06,74.23681640625,74.40339669270114,74.0310394389864,74.31520229187248,6457300
2024-05-07,74.78556060791016,74.93254630300649,74.39360124632093,74.89334961924727,6663100
2024-05-08,75.42249298095703,75.60867535819563,75.06973030619072,75.226509563863,5059800
2024-05-09,76.04962921142578,76.07902485663105,75.31470817728058,75.37349946769112,2972300
2024-05-10,75.62826538085938,76.3729873687006,75.59886973907659,76.2063996052607,3606600
2024-05-13,75.87324523925781,75.9320365276344,75.5988759254963,75.67726929400048,2565600
2024-05-14,75.4910888671875,76.3631945553658,75.47148678655243,76.30440326546717,4115900
2024-05-15,75.42249298095703,75.97123159681442,75.32450501041149,75.39309733739366,3870900
2024-05-16,75.4910888671875,75.66747021288667,75.0403382006237,75.177522861056,2941700
2024-05-17,75.35389709472656,75.52047738438607,75.06972676036487,75.32450145255166,2791600
2024-05-20,75.55967712402344,75.6674661336956,75.0011374720872,75.08932440218102,3278700
2024-05-21,77.58805847167969,77.65665079795006,76.18680882701095,76.23580654977673,7740000
2024-05-22,77.2156982421875,77.3528828894785,76.80413682431197,76.9903191924937,3568400
