Price,Close,High,Low,Open,Volume
Ticker,TMUS,TMUS,TMUS,TMUS,TMUS
Date,,,,,
2024-04-01,160.40762329101562,161.0189956664969,159.3525124156988,160.9499770337362,3256800
2024-04-02,159.82583618164062,160.12166687057544,158.9482146672975,159.66805780799888,4124900
2024-04-03,160.9894256591797,161.13734853412552,159.28349017014176,159.64833951117382,3245900
2024-04-04,159.36236572265625,162.23189772008166,159.17500579170382,161.60079929541587,3331600
2024-04-05,158.86932373046875,160.06250197895207,158.07059141174483,159.13557285223462,3180200
2024-04-08,158.66224670410156,159.52015724570873,157.29157899468674,157.68602494674022,4012000
2024-04-09,158.76084899902344,159.33278429790064,157.84379044765757,158.84959368852853,3359000
2024-04-10,158.1494903564453,158.7904443428161,157.16339804105974,158.7904443428161,4438900
2024-04-11,158.45516967773438,158.7411298162709,157.53809604007785,158.33684341993637,4790900
2024-04-12,157.82406616210938,158.6326539754125,157.39018316867055,157.89308479475272,3827400
2024-04-15,157.59725952148438,159.74693325277804,157.16337655458076,159.74693325277804,4494600
2024-04-16,157.56768798828125,158.36643542077746,156.92673398753766,158.36643542077746,3810400
2024-04-17,157.86351013183594,158.41571940341515,157.19297460108234,157.36060848377073,4098300
2024-04-18,158.61294555664062,159.26375501086278,157.83392424753148,157.83392424753148,3246600
2024-04-19,160.07235717773438,160.1315203054414,158.4650219910166,159.21446173283528,5005900
2024-04-22,160.10194396972656,162.32065161063375,159.85542089851464,161.57122689091625,3701900
2024-04-23,160.9795684814453,161.5909408944649,160.09209142728304,160.42735919915995,4165100
2024-04-24,161.89662170410156,162.26148607575718,159.90472615176904,160.3287386056127,4713700
2024-04-25,161.76844787597656,162.89259251731988,159.45112490863195,162.478435549096,5817300
2024-04-26,161.67971801757812,161.88678899740788,158.38615793576497,159.95405630164194,7969000
2024-04-29,161.9656524658203,162.40939097011056,160.94012314375897,161.50218790344033,3451400
2024-04-30,161.8867645263672,162.1628691554545,160.8020720682595,161.9656537127598,4122400
2024-05-01,163.16868591308594,164.1843597274941,161.7092735952155,162.21217522626293,6020800
2024-05-02,162.61648559570312,163.99700880379297,162.2319101986942,163.99700880379297,3449800
2024-05-03,162.310791015625,162.94188945627772,161.2852466454558,162.61647720689174,4274900
2024-05-06,160.11178588867188,162.5573053810999,159.55957666346973,161.9064809171518,6022300
2024-05-07,159.93431091308594,160.545683317946,159.36237557933086,160.48652018800138,4611400
2024-05-08,160.56541442871094,161.80788533636297,159.99347907696088,160.24000215720272,5106000
2024-05-09,162.38967895507812,162.42913107466933,160.23014937457162,160.97957413447972,4774700
2024-05-10,161.91636657714844,162.64608035867806,161.2556864849121,162.12345259845267,3084800
2024-05-13,161.07818603515625,162.6953768335204,160.456943060409,162.6953768335204,3686200
2024-05-14,160.15126037597656,162.21218975315168,159.47085425466636,161.66983595742795,4657200
2024-05-15,160.41748046875,161.75856653446777,160.249846591357,160.71331115391507,4647400
2024-05-16,161.3049774169922,161.40357761732218,159.8948576284485,160.6147158283856,3217700
2024-05-17,161.71913146972656,161.71913146972656,160.29915620058935,160.84150995568675,2921400
2024-05-20,161.62054443359375,161.91637517406016,160.88097510571598,161.78819338890003,2983400
2024-05-21,162.07412719726562,162.43897652473416,161.37399506032904,162.03469012669092,3218000
2024-05-22,163.1982879638672,163.5631373274925,160.98943562843496,161.39373711311873,4197800
2024-05-23,162.67564392089844,163.2968868694738,161.9262192081564,162.0938530894313,3629200
2024-05-24,163.69131469726562,163.88853013939337,162.46855488155563,162.91230843456026,3722100
2024-05-28,164.98309326171875,166.36363145072235,163.07007187394186,163.23770575219592,5729300
2024-05-29,166.53126525878906,166.7580622649697,164.8056038081922,165.27892387874383,6166000
2024-05-30,168.32595825195312,168.69082264687344,166.12697656216676,166.8172381860263,6210400
2024-05-31,173.18617248535156,173.50292030720138,168.0388806674811,168.36553677082125,8684300
2024-06-03,171.32522583007812,176.66057857381617,169.44447996595352,172.73082731146894,7801600
2024-06-04,176.10626220703125,177.03673442902019,171.31533619603277,171.32522937351155,7238200
2024-06-05,178.4423370361328,179.33320634550608,176.46261403389184,177.2050101597322,8973500
2024-06-06,177.94740295410156,180.81799521197354,177.58114393476424,178.4423336953959,7651300
2024-06-07,177.9969024658203,178.82838250217455,177.4524756191284,177.69994099452583,5994200
2024-06-10,178.8580780029297,180.46164880994345,177.4326750171006,178.10577359147103,6775100
2024-06-11,176.59130859375,179.0659626665553,176.23495780310245,178.9174894638229,7331000
2024-06-12,172.0280303955078,175.41337015399827,169.44449117187358,175.0867140332987,10923100
2024-06-13,173.3346405029297,173.6216936799321,171.42420003499234,172.414061492926,5444700
2024-06-14,174.2057342529297,174.29481816470283,172.44378195656034,173.25546054841826,4045200
2024-06-17,175.58164978027344,177.0169460331793,173.03769830033164,174.20574280479846,6591900
2024-06-18,175.80929565429688,176.44280638863958,173.78998490860678,176.06665419809357,5712000
2024-06-20,174.6511688232422,177.20501335466835,173.98796341802466,174.72045127544408,6596400
2024-06-21,174.93821716308594,175.62122400887276,172.35467806611575,173.68110394382813,13901200
2024-06-24,176.14584350585938,176.93773569341658,174.38389131819036,175.65091277664703,5958300
2024-06-25,175.8291015625,176.98723769502527,175.46284253987776,176.6506884129077,5910400
2024-06-26,174.52247619628906,175.72021524025936,172.00823466741303,175.21537621573617,5316600
2024-06-27,175.62123107910156,175.80930718671164,173.92857631878758,174.5224841751428,3157400
2024-06-28,174.393798828125,177.05652878678197,174.32451637446653,175.878591137792,5172300
2024-07-01,177.26441955566406,177.35350347589636,174.93823872233483,175.78952031409685,3257400
2024-07-02,178.1552734375,178.17507489718884,175.898390363796,176.31413039273218,3317400
2024-07-03,176.6507110595703,177.77915270034507,176.19536806932206,177.05654284399264,1652900
2024-07-05,177.42279052734375,177.66034763388907,176.1260592030663,177.09613440175525,3256500
2024-07-08,177.35350036621094,178.10578974179796,176.43293633177245,177.2248135254054,2370200
2024-07-09,177.23471069335938,178.48193078879683,176.65069601324814,177.85831318903394,2940800
2024-07-10,178.68980407714844,179.24412410628918,176.82885960438622,176.82885960438622,3338400
2024-07-11,176.99713134765625,178.9867626174616,176.10626204457975,177.43267282172485,4758300
2024-07-12,177.71974182128906,178.9570687990314,176.73978852153414,177.62076472552312,3043900
2024-07-15,179.90733337402344,180.4913480527048,176.85855804410784,176.93774877912895,4028300
2024-07-16,181.12484741210938,181.95634252537607,179.4123912994713,180.12509276564998,5437500
2024-07-17,181.69898986816406,183.54013301781555,180.4121667886719,181.89695916406538,5228500
2024-07-18,180.4418487548828,181.93654930775202,179.877635545986,181.76827466284988,4236900
2024-07-19,180.20428466796875,181.38222224067937,180.09539930148068,180.37255930634348,2494900
2024-07-22,175.64102172851562,179.84793297781349,174.98770953305547,179.5806661516548,4391100
2024-07-23,174.7699432373047,175.84888864247097,173.92857002854154,175.81919400593156,3621200
2024-07-24,175.0966033935547,175.7301141611959,172.4635681295101,175.26487803919974,4499600
2024-07-25,173.36434936523438,178.50173317015606,173.24557081384285,176.44281935620177,4166300
2024-07-26,173.75039672851562,174.76005973904014,172.0676351137005,173.90877820155646,3117200
2024-07-29,175.07681274414062,175.2351942218522,173.29507398419702,173.9285847909543,2400800
2024-07-30,173.58212280273438,176.0864713273132,171.97855191773934,175.78950984014298,4848100
2024-07-31,180.43194580078125,180.8971818955153,175.09659313317005,178.50171897373957,8036700
2024-08-01,185.17340087890625,185.60892725811436,179.97662792465405,180.0261089171384,5228400
2024-08-02,186.84625244140625,191.8054682532502,186.3909246069201,187.08382464032593,7922800
2024-08-05,184.97540283203125,191.51838756777227,183.51041212702512,190.41964076299593,6523000
2024-08-06,187.93511962890625,190.6968267831652,184.62898558643454,185.05461881461696,4492100
2024-08-07,188.65769958496094,191.9638333686645,187.935104919393,187.935104919393,4685900
2024-08-08,191.6470947265625,191.87475865323688,188.07369393758484,188.50923543493658,5437100
2024-08-09,192.23110961914062,192.4092925519237,190.1623026086043,191.70648420697762,2802200
2024-08-12,192.97349548339844,193.26056377531788,191.30062713972657,192.23109936194084,2870800
2024-08-13,193.3496551513672,193.94356300901518,191.9143589486075,193.71589908545454,3736900
2024-08-14,194.49789428710938,195.0324128587711,192.50826297772358,193.0031937346314,3248100
2024-08-15,192.65675354003906,194.83444587530633,190.92449587042606,194.32962193477658,4673300
2024-08-16,194.5671844482422,194.73545909976778,191.42932513760644,192.41918669064316,3161700
2024-08-19,195.57684326171875,196.77456725688393,194.3395163469929,195.16110323086144,2786400
2024-08-20,194.2306365966797,196.06188652511804,194.1514458593543,194.81465129235443,2885500
2024-08-21,193.47833251953125,195.12149110565744,193.23086714826127,194.37909499184747,3252500
2024-08-22,194.4484100341797,195.15120329350566,193.20117478418828,193.9039831476032,3034900
2024-08-23,196.5666961669922,197.13090936122023,194.4978892813432,195.7451093191797,2481100
2024-08-26,198.39793395996094,198.5662237072071,196.98243925946565,196.98243925946565,2537500
2024-08-27,201.96144104003906,202.0406317726878,198.20987259334493,199.10074190348908,3687000
2024-08-28,199.36802673339844,203.1987862585109,199.04137059577104,203.1987862585109,4062900
2024-08-29,198.05149841308594,199.36801607163207,197.2497129836461,199.36801607163207,3340100
2024-08-30,197.34640502929688,199.2928485939697,195.3999463113071,198.5877647554004,3915100
2024-09-03,199.14389038085938,200.15684415465623,197.94226265853013,198.23025144592535,3572900
2024-09-04,197.42584228515625,200.90164931428464,196.3830971457545,199.45173457181772,3275400
2024-09-05,195.81703186035156,197.90252216034972,194.80409328338442,197.1279149411084,3573100
2024-09-06,191.6659393310547,196.33344881259836,191.27863570745103,196.0156686063856,5336900
2024-09-09,193.95004272460938,194.6650671246865,191.93407578234982,191.93407578234982,3839600
2024-09-10,195.14175415039062,195.53898321201612,193.2052359566609,194.35722145001918,3024500
2024-09-11,197.16763305664062,197.4854284067496,193.06619099834646,195.19139815392214,4037500
