Price,Close,High,Low,Open,Volume
Ticker,HES,HES,HES,HES,HES
Date,,,,,
2024-05-02,156.3709716796875,158.09681176957733,155.48340279556814,155.84828988488567,5170500
2024-05-03,156.66680908203125,156.7259783255254,152.7318888602504,155.89757882034914,6029700
2024-05-06,157.19935607910156,159.21120075875595,156.75557168004335,157.79107864326576,3501300
2024-05-07,156.30194091796875,157.93901202874915,156.26248471878992,157.79108890215574,2464000
2024-05-08,155.4833984375,156.15400334481478,154.39857867786614,155.56229578803072,2402900
2024-05-09,157.74176025390625,157.79107297383644,155.56227948540757,155.74964374413534,1841400
2024-05-10,158.18556213378906,158.74770011653806,156.61751678422246,158.74770011653806,1378600
2024-05-13,157.406494140625,158.99426778056363,156.15402299654102,158.89564231795563,2475500
2024-05-14,156.2920684814453,158.4123952557433,155.79897133134776,157.4459140068979,1781400
2024-05-15,154.55638122558594,155.91733425710598,152.71220258871242,155.86802152950435,2428700
2024-05-16,154.15203857421875,155.0100228551909,153.31378239399646,154.55638187486633,2205600
2024-05-17,155.92718505859375,156.13429248766406,153.8660425344521,154.85223685775026,2278400
2024-05-20,153.6786651611328,156.6964174211299,153.2743218718832,156.56820734206747,1738800
2024-05-21,152.4755096435547,153.94494464804995,152.13033560047066,153.15598615538048,2205200
2024-05-22,149.24078369140625,152.02184376380433,148.3433432760756,152.02184376380433,2860900
2024-05-23,148.20526123046875,150.26640346991408,147.7318922341467,149.97055725229347,2253400
2024-05-24,149.29994201660156,150.12834154792358,148.6293371716636,149.13229080536706,1652900
2024-05-28,149.9508514404297,150.8877330477667,147.83052459421302,150.8877330477667,4071900
2024-05-29,146.82461547851562,149.67471646724323,146.77530275278812,149.67471646724323,1949000
2024-05-30,148.13624572753906,148.88574794433,146.65695434441182,146.65695434441182,2616600
2024-05-31,151.9725341796875,152.23879578243412,148.72794679330713,148.72794679330713,2762100
2024-06-03,147.19935607910156,151.66681506270135,145.70035157492038,150.75951811076087,2563600
2024-06-04,145.99618530273438,146.41040011633967,143.63918172539618,145.32558045809634,1631200
2024-06-05,144.9902801513672,146.8048739260609,144.72400349534405,145.8679924156148,1638200
2024-06-06,145.93702697753906,145.94689855125327,143.8068587454294,144.52677636442638,1216700
2024-06-07,145.5030975341797,147.33741949796584,144.88180537014907,145.49324100870095,1166000
2024-06-10,145.76937866210938,147.4064648294817,145.5327016583367,145.56228628380828,2498400
2024-06-11,145.95677185058594,146.13427962027365,143.915342210383,144.86209545978124,1314500
2024-06-12,143.87588500976562,146.873909043599,142.1106038439466,146.39068347014103,1551100
2024-06-13,141.76544189453125,143.82658453382876,141.11454999323774,143.34335891921884,1869900
2024-06-14,141.9019317626953,142.6537397529012,141.17981390894812,142.2580473648662,2552100
2024-06-17,142.03053283691406,143.45499523718652,140.44779348236221,141.7634423633327,1956700
2024-06-18,141.78323364257812,144.6420451506699,141.27874282142832,142.74276694301474,2405300
2024-06-20,145.55210876464844,146.67980562370806,141.6843006862317,141.85246428606013,2228500
2024-06-21,144.6024627685547,146.7391563297787,144.54311268531862,146.64024455575884,4146300
2024-06-24,148.7472686767578,149.05392087888995,145.23559078098873,145.44331610121625,1973300
2024-06-25,148.30210876464844,149.2616420376708,147.33268884236023,149.09347843542537,1767600
2024-06-26,145.57191467285156,148.43072640216124,144.94870853829045,148.43072640216124,1292200
